,Arizona,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,1.4773399829864502,0.024138137698173523,2.3530197143554688
2020-02-03,0.0,0.4499080777168274,0.0,1.2222063541412354
2020-02-04,0.0,1.1495184898376465,0.5286540985107422,2.348707675933838
2020-02-05,0.0,1.207933783531189,0.0,2.4702279567718506
2020-02-06,0.0,1.4847276210784912,0.0,2.3792500495910645
2020-02-07,0.0,1.5212459564208984,0.0,2.3213629722595215
2020-02-08,0.0,1.9287078380584717,0.0,3.868846893310547
2020-02-09,0.0,1.4773399829864502,0.024138137698173523,2.3530197143554688
2020-02-10,0.0,0.4499080777168274,0.0,1.2222063541412354
2020-02-11,0.0,1.1495184898376465,0.5286540985107422,2.348707675933838
2020-02-12,0.0,1.207933783531189,0.0,2.4702279567718506
2020-02-13,0.0,1.4847276210784912,0.0,2.3792500495910645
2020-02-14,0.0,1.5212459564208984,0.0,2.3213629722595215
2020-02-15,0.0,1.9287078380584717,0.0,3.868846893310547
2020-02-16,0.0,1.4773399829864502,0.024138137698173523,2.3530197143554688
2020-02-17,0.0,0.4499080777168274,0.0,1.2222063541412354
2020-02-18,0.0,1.1495184898376465,0.5286540985107422,2.348707675933838
2020-02-19,0.0,1.207933783531189,0.0,2.4702279567718506
2020-02-20,0.0,1.4847276210784912,0.0,2.3792500495910645
2020-02-21,0.0,1.5212459564208984,0.0,2.3213629722595215
2020-02-22,0.0,1.9287078380584717,0.0,3.868846893310547
2020-02-23,0.0,1.4773399829864502,0.024138137698173523,2.3530197143554688
2020-02-24,0.0,0.4499080777168274,0.0,1.2222063541412354
2020-02-25,0.0,1.1495184898376465,0.5286540985107422,2.348707675933838
2020-02-26,0.0,1.207933783531189,0.0,2.4702279567718506
2020-02-27,0.0,1.4847276210784912,0.0,2.3792500495910645
2020-02-28,0.0,1.5212459564208984,0.0,2.3213629722595215
2020-02-29,0.0,1.9287078380584717,0.0,3.868846893310547
2020-03-01,0.0,1.4773399829864502,0.024138137698173523,2.3530197143554688
2020-03-02,0.0,0.4499080777168274,0.0,1.2222063541412354
2020-03-03,0.0,1.1495184898376465,0.5286540985107422,2.348707675933838
2020-03-04,0.0,1.207933783531189,0.0,2.4702279567718506
2020-03-05,0.0,1.4847276210784912,0.0,2.3792500495910645
2020-03-06,0.0,1.5212459564208984,0.0,2.3213629722595215
